,Word,Definition
732989,Geographical,"""Of or pertaining to geography."""
746894,Inextricableness,"""The state of being inextricable."""
776875,Papuars,"""The native black race of Papua or New Guinea  and the adjacent islands."""
845314,dark-coated,covered with dark hair
692652,Cesura,"""See Caesura."""
849044,platelike,as the hard flattened scales of e.g. sharks
791944,Quinible,"""An interval of a fifth; also  a part sung with such intervals."""
778307,Pattered,"""of Patter"""
949475,Henrik_Johan_Ibsen,realistic Norwegian author who wrote plays on social and political themes (1828-1906)
889734,black-tailed_deer,mule deer of western Rocky Mountains
961605,Pyrolaceae,"evergreen herbs of temperate regions: genera Pyrola, Chimaphila, Moneses, Orthilia"
911761,basilar_membrane,a membrane in the cochlea that supports the organ of Corti
754879,Latisternal,"""Having a broad breastbone  or sternum; -- said of anthropoid apes."""
894898,carpet_sweeper,a cleaning implement with revolving brushes that pick up dirt as the implement is pushed over a carpet
924341,collateral_damage,(euphemism) inadvertent casualties and destruction inflicted on civilians in the course of military operations
781501,Phytogeny,"""The doctrine of the generation of plants."""
926434,oyster_cracker,a small dry usually round cracker
843750,alkaline-loving,thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)
891942,family_Istiophoridae,sailfishes; spearfishes; marlins
878211,Thirty_Years'_War,a series of conflicts (1618-1648) between Protestants and Catholics starting in Germany and spreading until France and Denmark and Sweden were opposing the Holy Roman Empire and Spain
719989,Entame,"""To tame."""
780902,Philadelphian,"""A native or an inhabitant of Philadelphia."""
780903,Philadelphian,"""One of a society of mystics of the seventeenth century  -- called also the Family of Love."""
780901,Philadelphian,"""Of or pertaining to Ptolemy Philadelphus  or to one of the cities named Philadelphia esp. the modern city in Pennsylvania."""
957618,genus_Crateva,tropical genus of small trees or shrubs
646043,mirroring,an exact copy of a data set especially a website
646054,mirroring,a polished surface as of metal or of glass backed by a metal or other opaque substance used to reflect objects especially to reflect the face or person as an aid in making the toilet
646039,mirroring,something worthy of imitation
646066,mirroring,reflect as if in a mirror
646064,mirroring,a glass backed with an amalgam of tin or silver
646056,mirroring,figuratively that in or by which anything is shown or exemplified hence a pattern an exemplar
646051,mirroring,to copy or duplicate to mimic or imitate
646037,mirroring,also called looking glass
646065,mirroring,polished surface that forms images by reflecting light
646040,mirroring,to reflect in or as if in a mirror the city mirrors many of the greatest moments of western culture olivier bernier
671565,Alegge,"""To allay or alleviate; to lighten."""
68726,irritating,causing annoyance
68724,irritating,stimulating or exciting a response
68727,irritating,causing irritation of living tissue used of physical stimuli
68723,irritating,causing irritation annoyance or pain
68729,irritating,causing irritation vexing provoking exasperating
68725,irritating,present participle of irritate
68730,irritating,causing irritation or annoyance
68731,irritating,used of physical stimuli serving to stimulate or excite
68728,irritating,causing pain or physical discomfort
68732,irritating,causing physical discomfort
980948,Cortef,an adrenal-cortex hormone (trade names Hydrocortone or Cortef) that is active in carbohydrate and protein metabolism
655854,betel,it is a woody climber with ovate many nerved leaves
655855,betel,a species of pepper piper betle a creeping or climbing plant a native of the east indies natural order piperaceæ
970605,betel,Asian pepper plant whose dried leaves are chewed with betel nut (seed of the betel palm) by southeast Asians
655851,betel,an evergreen indo malayan climbing or trailing shrub piper betle having usually ovate leaves used to wrap betel nuts
655856,betel,a piece of betel nut
655852,betel,either of two plants often used in combination
655853,betel,a species of pepper piper betle the leaves of which are chewed with the areca or betel nut and a little shell lime by the inhabitants of the east indies
655857,betel,asian pepper plant whose dried leaves are chewed with betel nut seed of the betel palm by southeast asians
840902,Widowhood,"""The state of being a widow; the time during which a woman is widow; also  rarely the state of being a widower."""
840903,Widowhood,"""Estate settled on a widow."""
820753,Supplyant,"""Supplying or aiding; auxiliary; suppletory."""
875056,making_love,sexual activities (often including sexual intercourse) between two people
881641,genus_Ptychozoon,flying geckos
844050,unmechanical,(of a person) lacking mechanical skills
970691,bipinnate_leaf,a leaf having pinnate leaflets; as ferns
697469,Collyrium,"""An application to the eye  usually an eyewater."""
871648,hyperextension,greater than normal extension
802454,Saucing,"""of Sauce"""
727234,Flanging,"""of Flange"""
968741,family_Avicenniaceae,used in some classifications: coextensive with the genus Avicennia
920121,sayonara,a farewell remark
809001,Silicifying,"""of Silicify"""
918386,trigram,a word that is written with three letters in an alphabetic writing system
789052,Proscription,"""The act of proscribing; a dooming to death or exile; outlawry; specifically  among the ancient Romans the public offer of a reward for the head of a political enemy; as under the triumvirate many of the best Roman citizens fell by proscription."""
789053,Proscription,"""The state of being proscribed; denunciation; interdiction; prohibition."""
672506,Amazon stone,"""A variety of feldspar  having a verdigris-green color."""
867909,hazily,in an indistinct way
70082,hazily,through a haze
70080,hazily,in a hazy manner
70083,hazily,in an indistinct way
70081,hazily,in a hazy manner mistily obscurely confusedly
773277,Orb,"""A sphere of action."""
773283,Orb,"""To encircle; to surround; to inclose."""
773276,Orb,"""A revolving circular body; a wheel."""
773284,Orb,"""To become round like an orb."""
773274,Orb,"""A period of time marked off by the revolution of a heavenly body."""
773271,Orb,"""A spherical body; a globe; especially  one of the celestial spheres; a sun planet or star."""
773282,Orb,"""To form into an orb or circle."""
773273,Orb,"""A circle; esp.  a circle or nearly circular orbit described by the revolution of a heavenly body; an orbit."""
773270,Orb,"""A blank window or panel."""
773272,Orb,"""One of the azure transparent spheres conceived by the ancients to be inclosed one within another  and to carry the heavenly bodies in their revolutions."""
703268,Crapulous,"""Surcharged with liquor; sick from excessive indulgence in liquor; drunk; given to excesses."""
726325,Pigpecker,"""The European garden warbler (Sylvia  / Currica hortensis); -- called also beccafico and greater pettychaps."""
745253,Inboard,"""Inside the line of a vessel's bulwarks or hull; the opposite of outboard; as  an inboard cargo; haul the boom inboard."""
745254,Inboard,"""From without inward; toward the inside; as  the inboard stroke of a steam engine piston the inward or return stroke."""
800164,Roundelay,"""A dance in a circle."""
800163,Roundelay,"""A tune in which a simple strain is often repeated; a simple rural strain which is short and lively."""
800162,Roundelay,"""See Rondeau  and Rondel."""
800165,Roundelay,"""Anything having a round form; a roundel."""
790011,Puefellow,"""A pewfellow."""
170444,ichthyologist,a zoologist who studies fishes
170443,ichthyologist,one who is versed in ichthyology
170442,ichthyologist,one versed in or who studies ichthyology
170441,ichthyologist,an expert in ichthyology one who studies fishes
942291,ichthyologist,a zoologist who studies fishes
949328,Honegger,Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)
901383,nasotracheal_tube,a tube inserted into the trachea through the nose and pharynx; used to deliver oxygen
823321,Tap,"""A piece of leather fastened upon the bottom of a boot or shoe in repairing or renewing the sole or heel."""
823331,Tap,"""To draw  or cause to flow by piercing."""
823323,Tap,"""To strike a gentle blow."""
823325,Tap,"""A plug or spile for stopping a hole pierced in a cask  or the like; a faucet."""
823319,Tap,"""To put a new sole or heel on; as  to tap shoes."""
823324,Tap,"""A hole or pipe through which liquor is drawn."""
823330,Tap,"""Hence  to draw from (anything) in any analogous way; as to tap telegraph wires for the purpose of intercepting information; to tap the treasury."""
823326,Tap,"""Liquor drawn through a tap; hence  a certain kind or quality of liquor; as a liquor of the same tap."""
823318,Tap,"""To strike with a slight or gentle blow; to touch gently; to rap lightly; to pat; as  to tap one with the hand or a cane."""
823329,Tap,"""To pierce so as to let out  or draw off a fluid; as to tap a cask a tree a tumor etc."""
882007,suborder_Prosauropoda,the earliest known dinosaurs
911447,glomerular_capsule,thin double membrane surrounding the glomerulus of a nephron
901115,missile_defense_system,naval weaponry providing a defense system
948249,Hans_Eysenck,a British psychologist (born in Germany) noted for his theories of intelligence and personality and for his strong criticism of Freudian psychoanalysis
903690,rudder_blade,the vertical blade on a rudder
961963,ironwood_tree,medium-sized hop hornbeam of eastern North America
970401,subshrub,low-growing woody shrub or perennial with woody base
775205,Overseas,"""Over the sea; abroad."""
899924,kirtle,a long dress worn by women
315684,affordable,capable of being afforded spared yielded or borne
850927,affordable,that you have the financial means for
315683,affordable,that may be afforded
315685,affordable,that you have the financial means for
315682,affordable,able to be afforded
315681,affordable,that can be afforded affordable housing an affordable risk
782452,Pirameter,"""A dynamometer for ascertaining the power required to draw carriages over roads."""
295104,epiphany,a revelatory manifestation of a divine being
295116,epiphany,twelve days after christmas celebrates the visit of the three wise men to the infant jesus
295115,epiphany,a divine manifestation
295108,epiphany,an illuminating realization or discovery often resulting in a personal feeling of elation awe or wonder
295114,epiphany,capitalized a christian festival closing the series of christmas observances celebrated on the of january the twelfth day after christmas hence called twelfth day in commemoration of the manifestations of christ to the world as the son of god in the west especially that to the gentiles through the visit of the magi in his infancy
295113,epiphany,among the ancient greeks a festival held in commemoration of the appearance of a god in any particular place
