,Unnamed: 0,Word,Definition
0,732989,geographical,of or pertaining to geography.
1,746894,inextricableness,the state of being inextricable.
2,776875,papuars,the native black race of papua or new guinea  and the adjacent islands.
3,845314,dark-coated,covered with dark hair
4,692652,cesura,see caesura.
5,849044,platelike,as the hard flattened scales of e.g. sharks
6,791944,quinible,an interval of a fifth
6,791944,quinible, also  a part sung with such intervals.
7,778307,pattered,of patter
10,961605,pyrolaceae,"evergreen herbs of temperate regions: genera pyrola, chimaphila, moneses, orthilia"
12,754879,latisternal,having a broad breastbone  or sternum
12,754879,latisternal, -- said of anthropoid apes.
15,781501,phytogeny,the doctrine of the generation of plants.
17,843750,alkaline-loving,thriving in a relatively alkaline environment
17,843750,alkaline-loving, (especially of plants requiring a ph above 7)
20,719989,entame,to tame.
21,780902,philadelphian,a native or an inhabitant of philadelphia.
22,780903,philadelphian,one of a society of mystics of the seventeenth century  -- called also the family of love.
23,780901,philadelphian,of or pertaining to ptolemy philadelphus  or to one of the cities named philadelphia esp. the modern city in pennsylvania.
25,646043,mirroring,an exact copy of a data set especially a website
26,646054,mirroring,a polished surface as of metal or of glass backed by a metal or other opaque substance used to reflect objects especially to reflect the face or person as an aid in making the toilet
27,646039,mirroring,something worthy of imitation
28,646066,mirroring,reflect as if in a mirror
29,646064,mirroring,a glass backed with an amalgam of tin or silver
30,646056,mirroring,figuratively that in or by which anything is shown or exemplified hence a pattern an exemplar
31,646051,mirroring,to copy or duplicate to mimic or imitate
32,646037,mirroring,also called looking glass
33,646065,mirroring,polished surface that forms images by reflecting light
34,646040,mirroring,to reflect in or as if in a mirror the city mirrors many of the greatest moments of western culture olivier bernier
35,671565,alegge,to allay or alleviate
35,671565,alegge, to lighten.
36,68726,irritating,causing annoyance
37,68724,irritating,stimulating or exciting a response
38,68727,irritating,causing irritation of living tissue used of physical stimuli
39,68723,irritating,causing irritation annoyance or pain
40,68729,irritating,causing irritation vexing provoking exasperating
41,68725,irritating,present participle of irritate
42,68730,irritating,causing irritation or annoyance
43,68731,irritating,used of physical stimuli serving to stimulate or excite
44,68728,irritating,causing pain or physical discomfort
45,68732,irritating,causing physical discomfort
46,980948,cortef,an adrenal-cortex hormone (trade names hydrocortone or cortef) that is active in carbohydrate and protein metabolism
47,655854,betel,it is a woody climber with ovate many nerved leaves
48,655855,betel,a species of pepper piper betle a creeping or climbing plant a native of the east indies natural order piperaceæ
49,970605,betel,asian pepper plant whose dried leaves are chewed with betel nut (seed of the betel palm) by southeast asians
50,655851,betel,an evergreen indo malayan climbing or trailing shrub piper betle having usually ovate leaves used to wrap betel nuts
51,655856,betel,a piece of betel nut
52,655852,betel,either of two plants often used in combination
53,655853,betel,a species of pepper piper betle the leaves of which are chewed with the areca or betel nut and a little shell lime by the inhabitants of the east indies
54,655857,betel,asian pepper plant whose dried leaves are chewed with betel nut seed of the betel palm by southeast asians
55,840902,widowhood,the state of being a widow
55,840902,widowhood, the time during which a woman is widow
55,840902,widowhood, also  rarely the state of being a widower.
56,840903,widowhood,estate settled on a widow.
57,820753,supplyant,supplying or aiding
57,820753,supplyant, auxiliary
57,820753,supplyant, suppletory.
60,844050,unmechanical,(of a person) lacking mechanical skills
62,697469,collyrium,an application to the eye  usually an eyewater.
63,871648,hyperextension,greater than normal extension
64,802454,saucing,of sauce
65,727234,flanging,of flange
67,920121,sayonara,a farewell remark
68,809001,silicifying,of silicify
69,918386,trigram,a word that is written with three letters in an alphabetic writing system
70,789052,proscription,the act of proscribing
70,789052,proscription, a dooming to death or exile
70,789052,proscription, outlawry
70,789052,proscription, specifically  among the ancient romans the public offer of a reward for the head of a political enemy
70,789052,proscription, as under the triumvirate many of the best roman citizens fell by proscription.
71,789053,proscription,the state of being proscribed
71,789053,proscription, denunciation
71,789053,proscription, interdiction
71,789053,proscription, prohibition.
72,672506,amazon stone,a variety of feldspar  having a verdigris-green color.
73,867909,hazily,in an indistinct way
74,70082,hazily,through a haze
75,70080,hazily,in a hazy manner
76,70083,hazily,in an indistinct way
77,70081,hazily,in a hazy manner mistily obscurely confusedly
78,773277,orb,a sphere of action.
79,773283,orb,to encircle
79,773283,orb, to surround
79,773283,orb, to inclose.
80,773276,orb,a revolving circular body
80,773276,orb, a wheel.
81,773284,orb,to become round like an orb.
82,773274,orb,a period of time marked off by the revolution of a heavenly body.
83,773271,orb,a spherical body
83,773271,orb, a globe
83,773271,orb, especially  one of the celestial spheres
83,773271,orb, a sun planet or star.
84,773282,orb,to form into an orb or circle.
85,773273,orb,a circle
85,773273,orb, esp.  a circle or nearly circular orbit described by the revolution of a heavenly body
85,773273,orb, an orbit.
86,773270,orb,a blank window or panel.
87,773272,orb,one of the azure transparent spheres conceived by the ancients to be inclosed one within another  and to carry the heavenly bodies in their revolutions.
88,703268,crapulous,surcharged with liquor
88,703268,crapulous, sick from excessive indulgence in liquor
88,703268,crapulous, drunk
88,703268,crapulous, given to excesses.
89,726325,pigpecker,the european garden warbler (sylvia  / currica hortensis)
89,726325,pigpecker, -- called also beccafico and greater pettychaps.
90,745253,inboard,inside the line of a vessel's bulwarks or hull
90,745253,inboard, the opposite of outboard
90,745253,inboard, as  an inboard cargo
90,745253,inboard, haul the boom inboard.
91,745254,inboard,from without inward
91,745254,inboard, toward the inside
91,745254,inboard, as  the inboard stroke of a steam engine piston the inward or return stroke.
92,800164,roundelay,a dance in a circle.
93,800163,roundelay,a tune in which a simple strain is often repeated
93,800163,roundelay, a simple rural strain which is short and lively.
94,800162,roundelay,see rondeau  and rondel.
95,800165,roundelay,anything having a round form
95,800165,roundelay, a roundel.
96,790011,puefellow,a pewfellow.
97,170444,ichthyologist,a zoologist who studies fishes
98,170443,ichthyologist,one who is versed in ichthyology
99,170442,ichthyologist,one versed in or who studies ichthyology
100,170441,ichthyologist,an expert in ichthyology one who studies fishes
101,942291,ichthyologist,a zoologist who studies fishes
102,949328,honegger,swiss composer (born in france) who was the founding member of a group in paris that included erik satie and darius milhaud and francis poulenc and jean cocteau (1892-1955)
